temperature,alpha,teacher_final_acc,student_best_acc,student_final_acc,improvement
5.0,0.3,92.5,93.37,93.2,0.8700000000000045
3.0,0.3,91.89,93.35,93.21,1.4599999999999937
4.0,0.5,92.03,93.31,93.31,1.2800000000000011
6.0,0.5,92.48,93.29,93.26,0.8100000000000023
5.0,0.5,92.8,93.19,92.99,0.39000000000000057
6.0,0.3,91.74,93.14,93.04,1.4000000000000057
3.0,0.5,93.02,93.13,93.04,0.10999999999999943
4.0,0.3,92.37,93.04,92.97,0.6700000000000017
6.0,0.7,92.07,93.04,93.02,0.9700000000000131
4.0,0.7,92.28,92.93,92.77,0.6500000000000057
2.0,0.3,91.78,92.8,92.78,1.019999999999996
2.0,0.5,91.75,92.78,92.78,1.0300000000000011
5.0,0.7,92.1,92.74,92.7,0.6400000000000006
3.0,0.7,91.69,92.52,92.43,0.8299999999999983
3.0,0.9,92.6,92.47,92.39,-0.12999999999999545
2.0,0.7,91.95,92.45,92.41,0.5
5.0,0.9,92.01,92.45,92.4,0.4399999999999977
4.0,0.9,92.47,92.41,92.33,-0.060000000000002274
2.0,0.9,92.43,92.26,92.16,-0.1700000000000017
6.0,0.9,91.58,92.12,92.12,0.5400000000000063
