temperature,alpha,dirichlet_alpha,teacher_final_acc,student_best_acc,student_final_acc,improvement
2.0,0.3,1.0,80.8,92.1,91.97,11.299999999999997
2.0,0.5,1.0,81.73,84.38,84.2,2.6499999999999915
2.0,0.7,1.0,81.54,81.84,81.46,0.29999999999999716
2.0,0.9,1.0,81.16,80.88,80.73,-0.28000000000000114
3.0,0.3,1.0,81.35,91.03,90.84,9.680000000000007
3.0,0.5,1.0,80.92,84.21,83.93,3.289999999999992
3.0,0.7,1.0,81.11,81.99,81.72,0.8799999999999955
3.0,0.9,1.0,80.93,80.93,80.73,0.0
4.0,0.3,1.0,81.17,91.39,91.2,10.219999999999999
4.0,0.5,1.0,81.32,84.98,84.56,3.660000000000011
4.0,0.7,1.0,81.46,82.0,81.91,0.5400000000000063
4.0,0.9,1.0,81.16,81.21,80.86,0.04999999999999716
5.0,0.3,1.0,80.98,91.8,91.47,10.819999999999993
5.0,0.5,1.0,81.06,84.84,84.71,3.780000000000001
5.0,0.7,1.0,80.9,81.85,81.63,0.9499999999999886
5.0,0.9,1.0,81.06,81.3,81.07,0.23999999999999488
6.0,0.3,1.0,80.65,92.27,92.15,11.61999999999999
6.0,0.5,1.0,80.85,84.72,84.45,3.8700000000000045
6.0,0.7,1.0,80.87,82.01,81.93,1.1400000000000006
6.0,0.9,1.0,80.91,81.29,81.08,0.38000000000000966
2.0,0.3,0.5,87.69,90.57,90.11,2.8799999999999955
2.0,0.5,0.5,87.49,90.01,89.97,2.5200000000000102
2.0,0.7,0.5,87.29,89.29,89.18,2.0
2.0,0.9,0.5,87.64,88.67,88.38,1.0300000000000011
3.0,0.3,0.5,87.46,90.12,90.12,2.660000000000011
3.0,0.5,0.5,87.39,90.38,90.37,2.989999999999995
3.0,0.7,0.5,87.11,89.2,88.94,2.0900000000000034
3.0,0.9,0.5,87.59,88.71,88.51,1.1199999999999903
4.0,0.3,0.5,87.86,90.96,90.73,3.0999999999999943
4.0,0.5,0.5,88.24,90.77,90.71,2.530000000000001
4.0,0.7,0.5,87.95,89.89,89.62,1.9399999999999977
4.0,0.9,0.5,87.5,88.39,88.28,0.8900000000000006
5.0,0.3,0.5,87.78,91.15,91.06,3.3700000000000045
5.0,0.5,0.5,87.44,90.45,90.36,3.010000000000005
5.0,0.7,0.5,87.9,89.96,89.51,2.059999999999988
5.0,0.9,0.5,87.85,88.96,88.55,1.1099999999999994
6.0,0.3,0.5,87.36,90.82,90.8,3.4599999999999937
6.0,0.5,0.5,87.88,90.64,90.62,2.760000000000005
6.0,0.7,0.5,88.0,90.28,89.95,2.280000000000001
6.0,0.9,0.5,87.6,88.76,88.32,1.1600000000000108
2.0,0.3,0.1,61.07,83.27,82.17,22.199999999999996
2.0,0.5,0.1,60.47,74.44,72.07,13.969999999999999
2.0,0.7,0.1,60.77,64.32,63.5,3.54999999999999
2.0,0.9,0.1,61.04,62.67,61.61,1.6300000000000026
3.0,0.3,0.1,60.36,83.98,83.64,23.620000000000005
3.0,0.5,0.1,60.36,72.29,71.54,11.930000000000007
3.0,0.7,0.1,61.43,65.65,64.31,4.220000000000006
3.0,0.9,0.1,61.31,62.97,61.87,1.6599999999999966
4.0,0.3,0.1,61.03,85.23,85.16,24.200000000000003
4.0,0.5,0.1,60.64,74.8,73.47,14.159999999999997
4.0,0.7,0.1,61.18,65.44,64.78,4.259999999999998
4.0,0.9,0.1,60.7,62.32,61.47,1.6199999999999974
5.0,0.3,0.1,60.74,85.09,84.93,24.35
5.0,0.5,0.1,60.94,75.09,73.84,14.150000000000006
5.0,0.7,0.1,60.88,65.75,64.94,4.869999999999997
5.0,0.9,0.1,61.25,63.66,61.57,2.4099999999999966
6.0,0.3,0.1,60.94,84.27,83.66,23.33
6.0,0.5,0.1,60.81,75.94,75.42,15.129999999999995
6.0,0.7,0.1,60.99,66.5,65.1,5.509999999999998
6.0,0.9,0.1,60.78,62.7,61.62,1.9200000000000017
