temperature,alpha,baseline_acc,final_teacher_acc,final_student_acc,best_student_acc,best_teacher_acc,total_improvement_over_baseline
1,0.1,34.65,43.9,27.13,40.6,61.62,-7.52
1,0.3,37.49,46.5,27.59,41.84,59.26,-9.900000000000002
1,0.5,40.58,48.76,35.03,42.05,66.77,-5.549999999999997
1,0.7,30.64,34.67,26.71,40.06,58.21,-3.9299999999999997
1,0.9,30.45,17.99,15.48,40.59,59.82,-14.969999999999999
2,0.1,35.62,39.91,40.21,40.85,62.88,4.590000000000003
2,0.3,31.03,53.95,32.61,40.13,61.4,1.5799999999999983
2,0.5,27.63,45.78,34.93,41.81,59.93,7.300000000000001
2,0.7,28.29,40.63,22.98,38.56,60.58,-5.309999999999999
2,0.9,29.15,34.97,16.91,37.11,59.93,-12.239999999999998
3,0.1,27.89,38.67,22.86,42.13,64.04,-5.030000000000001
